,id_componente,codigo,nome,departamento
20547,55027,IMD0040,LINGUAGEM DE PROGRAMAÇÃO II,INSTITUTO METROPOLE DIGITAL
20548,55028,IMD0043,REDES DE COMPUTADORES,INSTITUTO METROPOLE DIGITAL
20549,55029,IMD0041,INTRODUÇÃO A ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,INSTITUTO METROPOLE DIGITAL
20550,55030,IMD0042,INTRODUÇÃO A SISTEMAS OPERACIONAIS,INSTITUTO METROPOLE DIGITAL
20551,55031,IMD0019,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,INSTITUTO METROPOLE DIGITAL
20552,55032,IMD0001,ATIVIDADES COMPLEMENTARES DE TECNOLOGIA DA INFORMAÇÃO,INSTITUTO METROPOLE DIGITAL
20556,55036,IMD0319,TEORIA DE CIRCUITOS ELÉTRICOS,INSTITUTO METROPOLE DIGITAL
20557,55037,IMD0323,METODOLOGIAS DE PROJETOS EM SISTEMAS EMBARCADOS,INSTITUTO METROPOLE DIGITAL
20558,55038,IMD0321,PROJETOS BASEADOS EM MICROCONTROLADORES,INSTITUTO METROPOLE DIGITAL
20559,55039,IMD0322,SISTEMAS DIGITAIS RECONFIGURÁVEIS,INSTITUTO METROPOLE DIGITAL
20560,55040,IMD0320,CIRCUITOS ELETRÔNICOS,INSTITUTO METROPOLE DIGITAL
20561,55041,IMD0325,INTRODUÇÃO A SISTEMAS DE CONTROLE,INSTITUTO METROPOLE DIGITAL
20562,55042,IMD0330,REDES DE COMUNICAÇÃO EM SISTEMAS EMBARCADOS,INSTITUTO METROPOLE DIGITAL
20563,55043,IMD0328,TÉCNICAS DE PROTOTIPAÇÃO E MONTAGEM DE CIRCUITOS E SISTEMAS ELETRÔNICOS,INSTITUTO METROPOLE DIGITAL
20564,55044,IMD0326,PROCESSAMENTO DIGITAL DE SINAIS,INSTITUTO METROPOLE DIGITAL
20565,55045,IMD0331,DESENVOLVIMENTO EM PLATAFORMAS EMBARCADAS,INSTITUTO METROPOLE DIGITAL
20566,55046,IMD0332,ARQUITETURAS AVANÇADAS DE COMPUTADORES,INSTITUTO METROPOLE DIGITAL
20567,55047,IMD0333,PROJETO DE SOFTWARE E TESTES EM SISTEMAS EMBARCADOS,INSTITUTO METROPOLE DIGITAL
20568,55048,IMD0334,SENSORES INTELIGENTES,INSTITUTO METROPOLE DIGITAL
20569,55049,IMD0335,TÓPICOS ESPECIAIS I,INSTITUTO METROPOLE DIGITAL
20570,55050,IMD0336,TÓPICOS ESPECIAIS II,INSTITUTO METROPOLE DIGITAL
20571,55051,IMD0337,TI VERDE,INSTITUTO METROPOLE DIGITAL
20572,55052,IMD0419,COMPUTAÇÃO EM NUVEM,INSTITUTO METROPOLE DIGITAL
20573,55053,IMD0420,TÓPICOS AVANÇADOS EM GOVERNANÇA DE TI,INSTITUTO METROPOLE DIGITAL
20574,55054,IMD0421,GESTÃO DA MUDANÇA ORGANIZACIONAL,INSTITUTO METROPOLE DIGITAL
20575,55055,IMD0517,FUNDAMENTOS PEDAGÓGICOS PARA A INFORMÁTICA EDUCACIONAL I,INSTITUTO METROPOLE DIGITAL
20576,55056,IMD0518,FUNDAMENTOS PEDAGÓGICOS PARA A INFORMÁTICA EDUCACIONAL II,INSTITUTO METROPOLE DIGITAL
20577,55057,IMD0519,APRENDIZAGEM BASEADA EM PROJETOS,INSTITUTO METROPOLE DIGITAL
20578,55058,IMD0520,DESIGN INSTRUCIONAL PARA TI,INSTITUTO METROPOLE DIGITAL
20579,55059,IMD0521,FUNDAMENTOS DE JOGOS DIGITAIS,INSTITUTO METROPOLE DIGITAL
20580,55060,IMD0522,JOGOS DIGITAIS COMO FERRAMENTA PEDAGÓGICA,INSTITUTO METROPOLE DIGITAL
20581,55061,IMD0602,FERRAMENTAS PARA ANÁLISE DE SEQUÊNCIAS,INSTITUTO METROPOLE DIGITAL
20582,55062,IMD0603,TECNOLOGIAS EM LARGA ESCALA I,INSTITUTO METROPOLE DIGITAL
20593,55074,IMD0422,SISTEMAS DE INTELIGÊNCIA EMPRESARIAL,INSTITUTO METROPOLE DIGITAL
20601,55082,IMD0020,TECNOLOGIA DA INFORMAÇÃO E SOCIEDADE,INSTITUTO METROPOLE DIGITAL
20602,55083,IMD0423,DESIGN DE SOFTWARE I,INSTITUTO METROPOLE DIGITAL
20603,55084,IMD0523,TECNOLOGIAS EDUCACIONAIS,INSTITUTO METROPOLE DIGITAL
20604,55085,IMD0524,EDUCAÇÃO A DISTÂNCIA,INSTITUTO METROPOLE DIGITAL
20613,55094,IMD0324,PROJETO INTEGRADO I,INSTITUTO METROPOLE DIGITAL
20614,55095,IMD0327,PROJETO INTEGRADO II,INSTITUTO METROPOLE DIGITAL
20615,55096,IMD0329,PROJETO INTEGRADO III,INSTITUTO METROPOLE DIGITAL
20650,55136,IMD0930,MATEMÁTICA APLICADA,INSTITUTO METROPOLE DIGITAL
20651,55137,IMD0931,LÓGICA DE PROGRAMAÇÃO,INSTITUTO METROPOLE DIGITAL
20655,55141,IMD0997,CURSO EM TI OU EMPREENDEDORISMO VIII,INSTITUTO METROPOLE DIGITAL
20656,55142,IMD0998,CURSO EM TI OU EMPREENDEDORISMO IX,INSTITUTO METROPOLE DIGITAL
20657,55143,IMD0999,CURSO EM TI OU EMPREENDEDORISMO X,INSTITUTO METROPOLE DIGITAL
20658,55144,IMD1000,SEMINÁRIOS DE INTEGRAÇÃO I,INSTITUTO METROPOLE DIGITAL
20659,55145,IMD1001,SEMINÁRIOS DE INTEGRAÇÃO II,INSTITUTO METROPOLE DIGITAL
20660,55146,IMD1002,SEMINÁRIOS DE INTEGRAÇÃO III,INSTITUTO METROPOLE DIGITAL
21089,55612,DCA0126,CONTROLE FUZZY DE SISTEMAS DINÂMICOS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
21090,55613,IMD1003,CURSO EM TI OU EMPREENDEDORISMO XI,INSTITUTO METROPOLE DIGITAL
21641,56269,IMD0044,PRÁTICAS DE LEITURA E ESCRITA EM INGLÊS,INSTITUTO METROPOLE DIGITAL
22349,57058,DCA0011,MODELAGEM DE SISTEMAS DINÂMICOS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
22350,57059,DCA0012,SISTEMAS DE CONTROLE,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
22351,57060,DCA0013,AUTOMAÇÃO DE PROCESSOS INDUSTRIAIS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
22352,57061,DCA0014,METODOLOGIA DE PESQUISA CIENTÍFICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
22353,57062,DCA0015,INTRODUÇÃO À MATEMÁTICA E COMPUTAÇÃO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
